Full Name,County,State,Population (as of July 2019)
"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,4916
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,96849
"Haines Borough, Alaska",Haines Borough,Alaska,2530
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,2148
"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,31974
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,58708
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,13901
"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,12998
"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,8314
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,1592
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,108317
"Nome Census Area, Alaska",Nome Census Area,Alaska,10004
"North Slope Borough, Alaska",North Slope Borough,Alaska,9832
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,7621
"Petersburg Borough, Alaska",Petersburg Borough,Alaska,3266
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,6203
"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,8493
"Skagway Municipality, Alaska",Skagway Municipality,Alaska,1183
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,6893
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska,9202
"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,2502
"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,579
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,5230
"Apache County, Arizona",Apache County,Arizona,71887
"Cochise County, Arizona",Cochise County,Arizona,125922
"Coconino County, Arizona",Coconino County,Arizona,143476
"Gila County, Arizona",Gila County,Arizona,54018
"Graham County, Arizona",Graham County,Arizona,38837
"Greenlee County, Arizona",Greenlee County,Arizona,9498
"La Paz County, Arizona",La Paz County,Arizona,21108
"Maricopa County, Arizona",Maricopa County,Arizona,4485414
"Mohave County, Arizona",Mohave County,Arizona,212181
"Navajo County, Arizona",Navajo County,Arizona,110924
"Pima County, Arizona",Pima County,Arizona,1047279
"Pinal County, Arizona",Pinal County,Arizona,462789
"Santa Cruz County, Arizona",Santa Cruz County,Arizona,46498
"Yavapai County, Arizona",Yavapai County,Arizona,235099
"Yuma County, Arizona",Yuma County,Arizona,213787
"Arkansas County, Arkansas",Arkansas County,Arkansas,17486
"Ashley County, Arkansas",Ashley County,Arkansas,19657
"Baxter County, Arkansas",Baxter County,Arkansas,41932
"Benton County, Arkansas",Benton County,Arkansas,279141
"Boone County, Arkansas",Boone County,Arkansas,37432
"Bradley County, Arkansas",Bradley County,Arkansas,10763
"Calhoun County, Arkansas",Calhoun County,Arkansas,5189
"Carroll County, Arkansas",Carroll County,Arkansas,28380
"Chicot County, Arkansas",Chicot County,Arkansas,10118
"Clark County, Arkansas",Clark County,Arkansas,22320
"Clay County, Arkansas",Clay County,Arkansas,14551
"Cleburne County, Arkansas",Cleburne County,Arkansas,24919
"Cleveland County, Arkansas",Cleveland County,Arkansas,7956
"Columbia County, Arkansas",Columbia County,Arkansas,23457
"Conway County, Arkansas",Conway County,Arkansas,20846
"Craighead County, Arkansas",Craighead County,Arkansas,110332
"Crawford County, Arkansas",Crawford County,Arkansas,63257
"Crittenden County, Arkansas",Crittenden County,Arkansas,47955
"Cross County, Arkansas",Cross County,Arkansas,16419
"Dallas County, Arkansas",Dallas County,Arkansas,7009
"Desha County, Arkansas",Desha County,Arkansas,11361
"Drew County, Arkansas",Drew County,Arkansas,18219
"Faulkner County, Arkansas",Faulkner County,Arkansas,126007
"Franklin County, Arkansas",Franklin County,Arkansas,17715
"Fulton County, Arkansas",Fulton County,Arkansas,12477
"Garland County, Arkansas",Garland County,Arkansas,99386
"Grant County, Arkansas",Grant County,Arkansas,18265
"Greene County, Arkansas",Greene County,Arkansas,45325
"Hempstead County, Arkansas",Hempstead County,Arkansas,21532
"Hot Spring County, Arkansas",Hot Spring County,Arkansas,33771
"Howard County, Arkansas",Howard County,Arkansas,13202
"Independence County, Arkansas",Independence County,Arkansas,37825
"Izard County, Arkansas",Izard County,Arkansas,13629
"Jackson County, Arkansas",Jackson County,Arkansas,16719
"Jefferson County, Arkansas",Jefferson County,Arkansas,66824
"Johnson County, Arkansas",Johnson County,Arkansas,26578
"Lafayette County, Arkansas",Lafayette County,Arkansas,6624
"Lawrence County, Arkansas",Lawrence County,Arkansas,16406
"Lee County, Arkansas",Lee County,Arkansas,8857
"Lincoln County, Arkansas",Lincoln County,Arkansas,13024
"Little River County, Arkansas",Little River County,Arkansas,12259
"Logan County, Arkansas",Logan County,Arkansas,21466
"Lonoke County, Arkansas",Lonoke County,Arkansas,73309
"Madison County, Arkansas",Madison County,Arkansas,16576
"Marion County, Arkansas",Marion County,Arkansas,16694
"Miller County, Arkansas",Miller County,Arkansas,43257
"Mississippi County, Arkansas",Mississippi County,Arkansas,40651
"Monroe County, Arkansas",Monroe County,Arkansas,6701
"Montgomery County, Arkansas",Montgomery County,Arkansas,8986
"Nevada County, Arkansas",Nevada County,Arkansas,8252
"Newton County, Arkansas",Newton County,Arkansas,7753
"Ouachita County, Arkansas",Ouachita County,Arkansas,23382
"Perry County, Arkansas",Perry County,Arkansas,10455
"Phillips County, Arkansas",Phillips County,Arkansas,17782
"Pike County, Arkansas",Pike County,Arkansas,10718
"Poinsett County, Arkansas",Poinsett County,Arkansas,23528
"Polk County, Arkansas",Polk County,Arkansas,19964
"Pope County, Arkansas",Pope County,Arkansas,64072
"Prairie County, Arkansas",Prairie County,Arkansas,8062
"Pulaski County, Arkansas",Pulaski County,Arkansas,391911
"Randolph County, Arkansas",Randolph County,Arkansas,17958
"St Francis County, Arkansas",St Francis County,Arkansas,24994
"Saline County, Arkansas",Saline County,Arkansas,122437
"Scott County, Arkansas",Scott County,Arkansas,10281
"Searcy County, Arkansas",Searcy County,Arkansas,7881
"Sebastian County, Arkansas",Sebastian County,Arkansas,127827
"Sevier County, Arkansas",Sevier County,Arkansas,17007
"Sharp County, Arkansas",Sharp County,Arkansas,17442
"Stone County, Arkansas",Stone County,Arkansas,12506
"Union County, Arkansas",Union County,Arkansas,38682
"Van Buren County, Arkansas",Van Buren County,Arkansas,16545
"Washington County, Arkansas",Washington County,Arkansas,239187
"White County, Arkansas",White County,Arkansas,78753
"Woodruff County, Arkansas",Woodruff County,Arkansas,6320
"Yell County, Arkansas",Yell County,Arkansas,21341
"Alameda County, California",Alameda County,California,1671329
"Alpine County, California",Alpine County,California,1129
"Amador County, California",Amador County,California,39752
"Butte County, California",Butte County,California,219186
"Calaveras County, California",Calaveras County,California,45905
"Colusa County, California",Colusa County,California,21547
"Contra Costa County, California",Contra Costa County,California,1153526
"Del Norte County, California",Del Norte County,California,27812
"El Dorado County, California",El Dorado County,California,192843
"Fresno County, California",Fresno County,California,999101
"Glenn County, California",Glenn County,California,28393
"Humboldt County, California",Humboldt County,California,135558
"Imperial County, California",Imperial County,California,181215
"Inyo County, California",Inyo County,California,18039
"Kern County, California",Kern County,California,900202
"Kings County, California",Kings County,California,152940
"Lake County, California",Lake County,California,64386
"Lassen County, California",Lassen County,California,30573
"Los Angeles County, California",Los Angeles County,California,10039107
"Madera County, California",Madera County,California,157327
"Marin County, California",Marin County,California,258826
"Mariposa County, California",Mariposa County,California,17203
"Mendocino County, California",Mendocino County,California,86749
"Merced County, California",Merced County,California,277680
"Modoc County, California",Modoc County,California,8841
"Mono County, California",Mono County,California,14444
"Monterey County, California",Monterey County,California,434061
"Napa County, California",Napa County,California,137744
"Nevada County, California",Nevada County,California,99755
"Orange County, California",Orange County,California,3175692
"Placer County, California",Placer County,California,398329
"Plumas County, California",Plumas County,California,18807
"Riverside County, California",Riverside County,California,2470546
"Sacramento County, California",Sacramento County,California,1552058
"San Benito County, California",San Benito County,California,62808
"San Bernardino County, California",San Bernardino County,California,2180085
"San Diego County, California",San Diego County,California,3338330
"San Francisco County, California",San Francisco County,California,881549
"San Joaquin County, California",San Joaquin County,California,762148
"San Luis Obispo County, California",San Luis Obispo County,California,283111
"San Mateo County, California",San Mateo County,California,766573
"Santa Barbara County, California",Santa Barbara County,California,446499
"Santa Clara County, California",Santa Clara County,California,1927852
"Santa Cruz County, California",Santa Cruz County,California,273213
"Shasta County, California",Shasta County,California,180080
"Sierra County, California",Sierra County,California,3005
"Siskiyou County, California",Siskiyou County,California,43539
"Solano County, California",Solano County,California,447643
"Sonoma County, California",Sonoma County,California,494336
"Stanislaus County, California",Stanislaus County,California,550660
"Sutter County, California",Sutter County,California,96971
"Tehama County, California",Tehama County,California,65084
"Trinity County, California",Trinity County,California,12285
"Tulare County, California",Tulare County,California,466195
"Tuolumne County, California",Tuolumne County,California,54478
"Ventura County, California",Ventura County,California,846006
"Yolo County, California",Yolo County,California,220500
"Yuba County, California",Yuba County,California,78668
"Adams County, Colorado",Adams County,Colorado,517421
"Alamosa County, Colorado",Alamosa County,Colorado,16233
"Arapahoe County, Colorado",Arapahoe County,Colorado,656590
"Archuleta County, Colorado",Archuleta County,Colorado,14029
"Baca County, Colorado",Baca County,Colorado,3581
"Bent County, Colorado",Bent County,Colorado,5577
"Boulder County, Colorado",Boulder County,Colorado,326196
"Broomfield County, Colorado",Broomfield County,Colorado,70465
"Chaffee County, Colorado",Chaffee County,Colorado,20356
"Cheyenne County, Colorado",Cheyenne County,Colorado,1831
"Clear Creek County, Colorado",Clear Creek County,Colorado,9700
"Conejos County, Colorado",Conejos County,Colorado,8205
"Costilla County, Colorado",Costilla County,Colorado,3887
"Crowley County, Colorado",Crowley County,Colorado,6061
"Custer County, Colorado",Custer County,Colorado,5068
"Delta County, Colorado",Delta County,Colorado,31162
"Denver County, Colorado",Denver County,Colorado,727211
"Dolores County, Colorado",Dolores County,Colorado,2055
"Douglas County, Colorado",Douglas County,Colorado,351154
"Eagle County, Colorado",Eagle County,Colorado,55127
"Elbert County, Colorado",Elbert County,Colorado,26729
"El Paso County, Colorado",El Paso County,Colorado,720403
"Fremont County, Colorado",Fremont County,Colorado,47839
"Garfield County, Colorado",Garfield County,Colorado,60061
"Gilpin County, Colorado",Gilpin County,Colorado,6243
"Grand County, Colorado",Grand County,Colorado,15734
"Gunnison County, Colorado",Gunnison County,Colorado,17462
"Hinsdale County, Colorado",Hinsdale County,Colorado,820
"Huerfano County, Colorado",Huerfano County,Colorado,6897
"Jackson County, Colorado",Jackson County,Colorado,1392
"Jefferson County, Colorado",Jefferson County,Colorado,582881
"Kiowa County, Colorado",Kiowa County,Colorado,1406
"Kit Carson County, Colorado",Kit Carson County,Colorado,7097
"Lake County, Colorado",Lake County,Colorado,8127
"La Plata County, Colorado",La Plata County,Colorado,56221
"Larimer County, Colorado",Larimer County,Colorado,356899
"Las Animas County, Colorado",Las Animas County,Colorado,14506
"Lincoln County, Colorado",Lincoln County,Colorado,5701
"Logan County, Colorado",Logan County,Colorado,22409
"Mesa County, Colorado",Mesa County,Colorado,154210
"Mineral County, Colorado",Mineral County,Colorado,769
"Moffat County, Colorado",Moffat County,Colorado,13283
"Montezuma County, Colorado",Montezuma County,Colorado,26183
"Montrose County, Colorado",Montrose County,Colorado,42758
"Morgan County, Colorado",Morgan County,Colorado,29068
"Otero County, Colorado",Otero County,Colorado,18278
"Ouray County, Colorado",Ouray County,Colorado,4952
"Park County, Colorado",Park County,Colorado,18845
"Phillips County, Colorado",Phillips County,Colorado,4265
"Pitkin County, Colorado",Pitkin County,Colorado,17767
"Prowers County, Colorado",Prowers County,Colorado,12172
"Pueblo County, Colorado",Pueblo County,Colorado,168424
"Rio Blanco County, Colorado",Rio Blanco County,Colorado,6324
"Rio Grande County, Colorado",Rio Grande County,Colorado,11267
"Routt County, Colorado",Routt County,Colorado,25638
"Saguache County, Colorado",Saguache County,Colorado,6824
"San Juan County, Colorado",San Juan County,Colorado,728
"San Miguel County, Colorado",San Miguel County,Colorado,8179
"Sedgwick County, Colorado",Sedgwick County,Colorado,2248
"Summit County, Colorado",Summit County,Colorado,31011
"Teller County, Colorado",Teller County,Colorado,25388
"Washington County, Colorado",Washington County,Colorado,4908
"Weld County, Colorado",Weld County,Colorado,324492
"Yuma County, Colorado",Yuma County,Colorado,10019
"Fairfield County, Connecticut",Fairfield County,Connecticut,943332
"Hartford County, Connecticut",Hartford County,Connecticut,891720
"Litchfield County, Connecticut",Litchfield County,Connecticut,180333
"Middlesex County, Connecticut",Middlesex County,Connecticut,162436
"New Haven County, Connecticut",New Haven County,Connecticut,854757
"New London County, Connecticut",New London County,Connecticut,265206
"Tolland County, Connecticut",Tolland County,Connecticut,150721
"Windham County, Connecticut",Windham County,Connecticut,116782
"Kent County, Delaware",Kent County,Delaware,180786
"New Castle County, Delaware",New Castle County,Delaware,558753
"Sussex County, Delaware",Sussex County,Delaware,234225
"District of Columbia, District of Columbia",District of Columbia,District of Columbia,705749
"Alachua County, Florida",Alachua County,Florida,269043
"Baker County, Florida",Baker County,Florida,29210
"Bay County, Florida",Bay County,Florida,174705
"Bradford County, Florida",Bradford County,Florida,28201
"Brevard County, Florida",Brevard County,Florida,601942
"Broward County, Florida",Broward County,Florida,1952778
"Calhoun County, Florida",Calhoun County,Florida,14105
"Charlotte County, Florida",Charlotte County,Florida,188910
"Citrus County, Florida",Citrus County,Florida,149657
"Clay County, Florida",Clay County,Florida,219252
"Collier County, Florida",Collier County,Florida,384902
"Columbia County, Florida",Columbia County,Florida,71686
"DeSoto County, Florida",DeSoto County,Florida,38001
"Dixie County, Florida",Dixie County,Florida,16826
"Duval County, Florida",Duval County,Florida,957755
"Escambia County, Florida",Escambia County,Florida,318316
"Flagler County, Florida",Flagler County,Florida,115081
"Franklin County, Florida",Franklin County,Florida,12125
"Gadsden County, Florida",Gadsden County,Florida,45660
"Gilchrist County, Florida",Gilchrist County,Florida,18582
"Glades County, Florida",Glades County,Florida,13811
"Gulf County, Florida",Gulf County,Florida,13639
"Hamilton County, Florida",Hamilton County,Florida,14428
"Hardee County, Florida",Hardee County,Florida,26937
"Hendry County, Florida",Hendry County,Florida,42022
"Hernando County, Florida",Hernando County,Florida,193920
"Highlands County, Florida",Highlands County,Florida,106221
"Hillsborough County, Florida",Hillsborough County,Florida,1471968
"Holmes County, Florida",Holmes County,Florida,19617
"Indian River County, Florida",Indian River County,Florida,159923
"Jackson County, Florida",Jackson County,Florida,46414
"Jefferson County, Florida",Jefferson County,Florida,14246
"Lafayette County, Florida",Lafayette County,Florida,8422
"Lake County, Florida",Lake County,Florida,367118
"Lee County, Florida",Lee County,Florida,770577
"Leon County, Florida",Leon County,Florida,293582
"Levy County, Florida",Levy County,Florida,41503
"Liberty County, Florida",Liberty County,Florida,8354
"Madison County, Florida",Madison County,Florida,18493
"Manatee County, Florida",Manatee County,Florida,403253
"Marion County, Florida",Marion County,Florida,365579
"Martin County, Florida",Martin County,Florida,161000
"Miami-Dade County, Florida",Miami-Dade County,Florida,2716940
"Monroe County, Florida",Monroe County,Florida,74228
"Nassau County, Florida",Nassau County,Florida,88625
"Okaloosa County, Florida",Okaloosa County,Florida,210738
"Okeechobee County, Florida",Okeechobee County,Florida,42168
"Orange County, Florida",Orange County,Florida,1393452
"Osceola County, Florida",Osceola County,Florida,375751
"Palm Beach County, Florida",Palm Beach County,Florida,1496770
"Pasco County, Florida",Pasco County,Florida,553947
"Pinellas County, Florida",Pinellas County,Florida,974996
"Polk County, Florida",Polk County,Florida,724777
"Putnam County, Florida",Putnam County,Florida,74521
"St Johns County, Florida",St Johns County,Florida,264672
"St Lucie County, Florida",St Lucie County,Florida,328297
"Santa Rosa County, Florida",Santa Rosa County,Florida,184313
"Sarasota County, Florida",Sarasota County,Florida,433742
"Seminole County, Florida",Seminole County,Florida,471826
"Sumter County, Florida",Sumter County,Florida,132420
"Suwannee County, Florida",Suwannee County,Florida,44417
"Taylor County, Florida",Taylor County,Florida,21569
"Union County, Florida",Union County,Florida,15237
"Volusia County, Florida",Volusia County,Florida,553284
"Wakulla County, Florida",Wakulla County,Florida,33739
"Walton County, Florida",Walton County,Florida,74071
"Washington County, Florida",Washington County,Florida,25473
"Appling County, Georgia",Appling County,Georgia,18386
"Atkinson County, Georgia",Atkinson County,Georgia,8165
"Bacon County, Georgia",Bacon County,Georgia,11164
"Baker County, Georgia",Baker County,Georgia,3038
"Baldwin County, Georgia",Baldwin County,Georgia,44890
"Banks County, Georgia",Banks County,Georgia,19234
"Barrow County, Georgia",Barrow County,Georgia,83240
"Bartow County, Georgia",Bartow County,Georgia,107738
"Ben Hill County, Georgia",Ben Hill County,Georgia,16700
"Berrien County, Georgia",Berrien County,Georgia,19397
"Bibb County, Georgia",Bibb County,Georgia,153159
"Bleckley County, Georgia",Bleckley County,Georgia,12873
"Brantley County, Georgia",Brantley County,Georgia,19109
"Brooks County, Georgia",Brooks County,Georgia,15457
"Bryan County, Georgia",Bryan County,Georgia,39627
"Bulloch County, Georgia",Bulloch County,Georgia,79608
"Burke County, Georgia",Burke County,Georgia,22383
"Butts County, Georgia",Butts County,Georgia,24936
"Calhoun County, Georgia",Calhoun County,Georgia,6189
"Camden County, Georgia",Camden County,Georgia,54666
"Candler County, Georgia",Candler County,Georgia,10803
"Carroll County, Georgia",Carroll County,Georgia,119992
"Catoosa County, Georgia",Catoosa County,Georgia,67580
"Charlton County, Georgia",Charlton County,Georgia,13392
"Chatham County, Georgia",Chatham County,Georgia,289430
"Chattahoochee County, Georgia",Chattahoochee County,Georgia,10907
"Chattooga County, Georgia",Chattooga County,Georgia,24789
"Cherokee County, Georgia",Cherokee County,Georgia,258773
"Clarke County, Georgia",Clarke County,Georgia,128331
"Clay County, Georgia",Clay County,Georgia,2834
"Clayton County, Georgia",Clayton County,Georgia,292256
"Clinch County, Georgia",Clinch County,Georgia,6618
"Cobb County, Georgia",Cobb County,Georgia,760141
"Coffee County, Georgia",Coffee County,Georgia,43273
"Colquitt County, Georgia",Colquitt County,Georgia,45600
"Columbia County, Georgia",Columbia County,Georgia,156714
"Cook County, Georgia",Cook County,Georgia,17270
"Coweta County, Georgia",Coweta County,Georgia,148509
"Crawford County, Georgia",Crawford County,Georgia,12404
"Crisp County, Georgia",Crisp County,Georgia,22372
"Dade County, Georgia",Dade County,Georgia,16116
"Dawson County, Georgia",Dawson County,Georgia,26108
"Decatur County, Georgia",Decatur County,Georgia,26404
"DeKalb County, Georgia",DeKalb County,Georgia,759297
"Dodge County, Georgia",Dodge County,Georgia,20605
"Dooly County, Georgia",Dooly County,Georgia,13390
"Dougherty County, Georgia",Dougherty County,Georgia,87956
"Douglas County, Georgia",Douglas County,Georgia,146343
"Early County, Georgia",Early County,Georgia,10190
"Echols County, Georgia",Echols County,Georgia,4006
"Effingham County, Georgia",Effingham County,Georgia,64296
"Elbert County, Georgia",Elbert County,Georgia,19194
"Emanuel County, Georgia",Emanuel County,Georgia,22646
"Evans County, Georgia",Evans County,Georgia,10654
"Fannin County, Georgia",Fannin County,Georgia,26188
"Fayette County, Georgia",Fayette County,Georgia,114421
"Floyd County, Georgia",Floyd County,Georgia,98498
"Forsyth County, Georgia",Forsyth County,Georgia,244252
"Franklin County, Georgia",Franklin County,Georgia,23349
"Fulton County, Georgia",Fulton County,Georgia,1063937
"Gilmer County, Georgia",Gilmer County,Georgia,31369
"Glascock County, Georgia",Glascock County,Georgia,2971
"Glynn County, Georgia",Glynn County,Georgia,85292
"Gordon County, Georgia",Gordon County,Georgia,57963
"Grady County, Georgia",Grady County,Georgia,24633
"Greene County, Georgia",Greene County,Georgia,18324
"Gwinnett County, Georgia",Gwinnett County,Georgia,936250
"Habersham County, Georgia",Habersham County,Georgia,45328
"Hall County, Georgia",Hall County,Georgia,204441
"Hancock County, Georgia",Hancock County,Georgia,8457
"Haralson County, Georgia",Haralson County,Georgia,29792
"Harris County, Georgia",Harris County,Georgia,35236
"Hart County, Georgia",Hart County,Georgia,26205
"Heard County, Georgia",Heard County,Georgia,11923
"Henry County, Georgia",Henry County,Georgia,234561
"Houston County, Georgia",Houston County,Georgia,157863
"Irwin County, Georgia",Irwin County,Georgia,9416
"Jackson County, Georgia",Jackson County,Georgia,72977
"Jasper County, Georgia",Jasper County,Georgia,14219
"Jeff Davis County, Georgia",Jeff Davis County,Georgia,15115
"Jefferson County, Georgia",Jefferson County,Georgia,15362
"Jenkins County, Georgia",Jenkins County,Georgia,8676
"Johnson County, Georgia",Johnson County,Georgia,9643
"Jones County, Georgia",Jones County,Georgia,28735
"Lamar County, Georgia",Lamar County,Georgia,19077
"Lanier County, Georgia",Lanier County,Georgia,10423
"Laurens County, Georgia",Laurens County,Georgia,47546
"Lee County, Georgia",Lee County,Georgia,29992
"Liberty County, Georgia",Liberty County,Georgia,61435
"Lincoln County, Georgia",Lincoln County,Georgia,7921
"Long County, Georgia",Long County,Georgia,19559
"Lowndes County, Georgia",Lowndes County,Georgia,117406
"Lumpkin County, Georgia",Lumpkin County,Georgia,33610
"McDuffie County, Georgia",McDuffie County,Georgia,21312
"McIntosh County, Georgia",McIntosh County,Georgia,14378
"Macon County, Georgia",Macon County,Georgia,12947
"Madison County, Georgia",Madison County,Georgia,29880
"Marion County, Georgia",Marion County,Georgia,8359
"Meriwether County, Georgia",Meriwether County,Georgia,21167
"Miller County, Georgia",Miller County,Georgia,5718
"Mitchell County, Georgia",Mitchell County,Georgia,21863
"Monroe County, Georgia",Monroe County,Georgia,27578
"Montgomery County, Georgia",Montgomery County,Georgia,9172
"Morgan County, Georgia",Morgan County,Georgia,19276
"Murray County, Georgia",Murray County,Georgia,40096
"Muscogee County, Georgia",Muscogee County,Georgia,195769
"Newton County, Georgia",Newton County,Georgia,111744
"Oconee County, Georgia",Oconee County,Georgia,40280
"Oglethorpe County, Georgia",Oglethorpe County,Georgia,15259
"Paulding County, Georgia",Paulding County,Georgia,168667
"Peach County, Georgia",Peach County,Georgia,27546
"Pickens County, Georgia",Pickens County,Georgia,32591
"Pierce County, Georgia",Pierce County,Georgia,19465
"Pike County, Georgia",Pike County,Georgia,18962
"Polk County, Georgia",Polk County,Georgia,42613
"Pulaski County, Georgia",Pulaski County,Georgia,11137
"Putnam County, Georgia",Putnam County,Georgia,22119
"Quitman County, Georgia",Quitman County,Georgia,2299
"Rabun County, Georgia",Rabun County,Georgia,17137
"Randolph County, Georgia",Randolph County,Georgia,6778
"Richmond County, Georgia",Richmond County,Georgia,202518
"Rockdale County, Georgia",Rockdale County,Georgia,90896
"Schley County, Georgia",Schley County,Georgia,5257
"Screven County, Georgia",Screven County,Georgia,13966
"Seminole County, Georgia",Seminole County,Georgia,8090
"Spalding County, Georgia",Spalding County,Georgia,66703
"Stephens County, Georgia",Stephens County,Georgia,25925
"Stewart County, Georgia",Stewart County,Georgia,6621
"Sumter County, Georgia",Sumter County,Georgia,29524
"Talbot County, Georgia",Talbot County,Georgia,6195
"Taliaferro County, Georgia",Taliaferro County,Georgia,1537
"Tattnall County, Georgia",Tattnall County,Georgia,25286
"Taylor County, Georgia",Taylor County,Georgia,8020
"Telfair County, Georgia",Telfair County,Georgia,15860
"Terrell County, Georgia",Terrell County,Georgia,8531
"Thomas County, Georgia",Thomas County,Georgia,44451
"Tift County, Georgia",Tift County,Georgia,40644
"Toombs County, Georgia",Toombs County,Georgia,26830
"Towns County, Georgia",Towns County,Georgia,12037
"Treutlen County, Georgia",Treutlen County,Georgia,6901
"Troup County, Georgia",Troup County,Georgia,69922
"Turner County, Georgia",Turner County,Georgia,7985
"Twiggs County, Georgia",Twiggs County,Georgia,8120
"Union County, Georgia",Union County,Georgia,24511
"Upson County, Georgia",Upson County,Georgia,26320
"Walker County, Georgia",Walker County,Georgia,69761
